date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-07-26,3228.23,3269.75,3269.59,3228.01,810510.88,38.7,1.2,3243.154,3256.193,3226.453,791978.96,980575.77,1071783.5
2016-07-25,3220.17,3243.79,3230.89,3218.14,702031.88,5.73,0.18,3238.882,3256.552,3219.794,807650.51,1072058.89,1077270.28
2016-07-22,3251.24,3253.77,3225.16,3220.89,860291.25,-27.36,-0.84,3245.108,3253.796,3214.276,887869.16,1140385.22,1083802.31
2016-07-21,3238.34,3271.37,3252.52,3238.3,860048.25,14.91,0.46,3255.332,3250.508,3206.876,921140.96,1144090.95,1093183.85
2016-07-20,3246.86,3254.51,3237.61,3232.26,727012.56,-10.62,-0.33,3260.18,3246.251,3200.116,964182.91,1176681.32,1084057.31
2016-07-19,3260.43,3264.73,3248.23,3226.2,888868.62,-13.79,-0.42,3269.232,3244.17,3194.934,1169172.57,1228877.53,1080950.24
2016-07-18,3269.71,3281.64,3262.02,3251.77,1103125.12,-14.26,-0.43,3274.222,3240.085,3187.838,1336467.27,1270217.57,1080489.48
2016-07-15,3278.84,3285.03,3276.28,3265.29,1026650.25,-0.48,-0.01,3262.484,3234.353,3180.371,1392901.27,1293215.58,1057126.79
2016-07-14,3277.48,3281.95,3276.76,3259.07,1075258.0,-6.11,-0.19,3245.684,3222.145,3172.075,1367040.94,1262296.84,1048495.78
2016-07-13,3274.02,3300.99,3282.87,3271.78,1751960.88,9.69,0.3,3232.322,3209.861,3162.97,1389179.74,1234463.66,1036220.23
2016-07-12,3201.91,3273.47,3273.18,3200.3,1725342.12,69.85,2.18,3219.108,3196.713,3154.645,1288582.48,1162991.24,992318.81
2016-07-11,3199.04,3235.96,3203.33,3197.63,1385295.12,11.05,0.35,3205.948,3183.035,3144.785,1203967.86,1082481.66,939191.43
2016-07-08,3199.75,3204.93,3192.28,3183.96,897348.56,-17.67,-0.55,3206.222,3174.756,3137.936,1193529.89,1027219.41,916414.65
2016-07-07,3206.55,3220.54,3209.95,3190.12,1185952.0,-6.85,-0.21,3198.606,3163.244,3136.521,1157552.74,1042276.76,909693.11
2016-07-06,3197.62,3217.52,3216.8,3183.45,1248974.62,9.42,0.29,3187.4,3153.981,3134.876,1079747.57,991433.29,884859.67
2016-07-05,3199.16,3216.7,3207.38,3198.0,1302269.0,2.68,0.08,3174.318,3145.697,3132.976,1037399.99,933022.94,860757.81
2016-07-04,3136.39,3210.6,3204.7,3134.02,1333105.25,50.5,1.6,3160.122,3135.591,3132.073,960995.46,890761.39,846390.25
2016-07-01,3156.93,3170.26,3154.2,3148.29,717462.81,0.28,0.01,3143.29,3126.388,3130.193,860908.93,821038.01,822736.7
2016-06-30,3152.83,3163.72,3153.92,3148.2,796926.19,2.53,0.08,3127.882,3122.004,3130.511,927000.78,834694.71,843437.8
2016-06-29,3142.48,3158.08,3151.39,3139.13,1037236.69,14.99,0.48,3120.562,3116.079,3131.293,903119.01,837976.8,873023.05
2016-06-28,3107.4,3139.43,3136.4,3099.7,920246.38,15.86,0.51,3117.076,3112.577,3127.059,828645.9,821646.38,852710.51
2016-06-27,3065.13,3120.64,3120.54,3064.97,832672.56,43.38,1.41,3111.06,3106.535,3123.364,820527.31,795901.2,836932.56
2016-06-24,3110.65,3130.54,3077.16,3033.97,1047922.06,-40.16,-1.29,3109.486,3101.115,3120.547,781167.09,805609.89,825495.42
2016-06-23,3129.72,3129.72,3117.32,3102.48,677517.38,-16.64,-0.53,3116.126,3109.798,3119.651,742388.65,777109.46,801425.72
2016-06-22,3100.45,3134.06,3133.96,3096.99,664871.12,27.64,0.89,3111.596,3115.771,3116.963,772834.58,778286.04,796917.05
2016-06-21,3124.9,3155.49,3106.32,3097.94,879653.44,-6.35,-0.2,3108.078,3120.254,3114.626,814646.86,788492.68,793522.1
2016-06-20,3114.91,3118.73,3112.67,3089.71,635871.44,2.31,0.07,3102.01,3128.555,3113.221,771275.09,802019.11,777579.85
2016-06-17,3096.09,3131.05,3110.36,3096.09,854029.88,15.69,0.51,3092.744,3133.998,3110.712,830052.7,824435.39,776008.36
2016-06-16,3104.36,3112.48,3094.67,3089.48,829747.0,-21.7,-0.7,3103.47,3139.017,3108.596,811830.27,852180.89,774664.55
2016-06-15,3043.96,3128.67,3116.37,3042.23,873932.56,40.39,1.31,3119.946,3146.506,3108.164,783737.5,908069.31,765816.27
2016-06-14,3058.44,3078.75,3075.98,3055.66,662794.56,9.64,0.31,3132.43,3141.54,3107.111,762338.49,883774.63,751850.57
